,,"Mots d'ordre et résultats par parti depuis la 46ème législature à la 50ème (1999-2019) (Les votations commencent début 2000, la légilature commençant en décembre 1999)",,,,,,,,,,,,,,,,,,
,Sujets de votations,oui en %,non en %,Résultat CH,PLR CH,Gagné/perdu CH,PS CH,Gagné/perdu CH,PDC CH,Gagné/perdu CH,UDC CH,Gagné/perdu CH,PVL CH,Gagné/perdu CH,PBD CH,Gagné/perdu CH,Verts CH,Gagné/perdu CH,Conseil fédéral,Gagné/perdu CH
,"Initiative ""6 semaines de vacances pour tous""","33,5%","66,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Arrêté fédéral concernant la règlementation des jeux d'argent en faveur de l'utilité publique (Contre-projet à l'initiative ""Pour des jeux d'argent au service du bien commun"")","87,0%","13,0%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Loi fédérale sur la règlementation du prix du livre (LPL),"43,9%","56,1%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Accéder à la propriété grâce à l'épargne-logement"".","31,1%","68,9%",non,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,liberté de vote,perdu,non,gagné,non,gagné
,"Initiative ""Pour le renforcement des droits populaires dans la politique étrangère (accords internationaux: la parole au peuple !)","24,8%","75,2%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Modification de la loi fédérale sur l'assurance-maladie (Réseaux de soins),"24,0%","76,0%",non,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné,liberté de vote,perdu,oui,perdu
,Arrêté fédéral sur la promotion de la formation musicale des jeunes.,"72,7%","27,3%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,non,perdu
,"Initiative ""Sécurité du logement à la retraite""","47,4%","52,6%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,"Initiative ""Protection contre le tabagisme passif""","34,0%","66,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Modification de la loi sur les épizooties.,"68,3%","31,7%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
2013,Arrêté fédérale sur la politique familiale,"54,3%","45,7%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu
,Initiative Minder,"67,9%","32,1%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu
,Loi sur l'aménagement du territoire (LAT),"62,9%","37,1%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Election du Conseil fédéral par le peuple,"23,7%","76,3%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Loi sur l'asile,"78,4%","21,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative pour abrogation du service militaire obligatoire,"26,8%","73,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Loi sur les épidémies,"60,0%","40,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Libération des heures d'ouverture des shops en stations-services,"55,8%","44,2%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative 1:12,"34,7%","65,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Initiative pour les familles,"41,5%","58,5%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Loi de la vignette autoroutière,"39,5%","60,5%",non,oui,perdu,liberté de vote,perdu,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu
2014,FAIF - Fonds d'infrastructure ferroviaire,"62,0%","38,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative contre l'avortement dans l'assurance-maladie,"30,2%","69,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative contre l'immigration masssive,"50,3%","49,7%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
